eval,T,current_cost,best_cost,accepted
2981,8.182717355459469e-05,587.0,587.0,0
2982,8.141803768682172e-05,587.0,587.0,0
2983,8.101094749838761e-05,587.0,587.0,0
2984,8.060589276089566e-05,587.0,587.0,0
2985,8.020286329709119e-05,587.0,587.0,0
2986,7.980184898060574e-05,587.0,587.0,0
2987,7.940283973570271e-05,587.0,587.0,0
2988,7.900582553702419e-05,587.0,587.0,0
2989,7.861079640933907e-05,587.0,587.0,0
2990,7.821774242729237e-05,587.0,587.0,0
2991,7.782665371515591e-05,587.0,587.0,0
2992,7.743752044658013e-05,587.0,587.0,0
2993,7.705033284434723e-05,587.0,587.0,0
2994,7.66650811801255e-05,587.0,587.0,0
2995,7.628175577422487e-05,587.0,587.0,0
2996,7.590034699535374e-05,587.0,587.0,0
2997,7.552084526037697e-05,587.0,587.0,0
2998,7.514324103407509e-05,587.0,587.0,0
2999,7.476752482890471e-05,587.0,587.0,0
3000,7.439368720476018e-05,587.0,587.0,0
3001,7.402171876873639e-05,587.0,587.0,0
3002,7.36516101748927e-05,587.0,587.0,0
3003,7.328335212401824e-05,587.0,587.0,0
3004,7.291693536339815e-05,587.0,587.0,0
3005,7.255235068658115e-05,587.0,587.0,0
3006,7.218958893314824e-05,587.0,587.0,0
3007,7.18286409884825e-05,587.0,587.0,0
3008,7.146949778354009e-05,587.0,587.0,0
3009,7.111215029462239e-05,587.0,587.0,0
3010,7.075658954314928e-05,587.0,587.0,0
3011,7.040280659543353e-05,587.0,587.0,0
3012,7.005079256245636e-05,587.0,587.0,0
3013,6.970053859964408e-05,587.0,587.0,0
3014,6.935203590664586e-05,587.0,587.0,0
3015,6.900527572711263e-05,587.0,587.0,0
3016,6.866024934847707e-05,587.0,587.0,0
3017,6.831694810173468e-05,587.0,587.0,0
3018,6.797536336122601e-05,587.0,587.0,0
3019,6.763548654441988e-05,587.0,587.0,0
3020,6.729730911169778e-05,587.0,587.0,0
3021,6.696082256613929e-05,587.0,587.0,0
3022,6.662601845330859e-05,587.0,587.0,0
3023,6.629288836104204e-05,587.0,587.0,0
3024,6.596142391923683e-05,587.0,587.0,0
3025,6.563161679964064e-05,587.0,587.0,0
3026,6.530345871564244e-05,587.0,587.0,0
3027,6.497694142206423e-05,587.0,587.0,0
3028,6.46520567149539e-05,587.0,587.0,0
3029,6.432879643137914e-05,587.0,587.0,0
3030,6.400715244922224e-05,587.0,587.0,0
3031,6.368711668697614e-05,587.0,587.0,0
3032,6.336868110354125e-05,587.0,587.0,0
3033,6.305183769802354e-05,587.0,587.0,0
3034,6.273657850953343e-05,587.0,587.0,0
3035,6.242289561698576e-05,587.0,587.0,0
3036,6.211078113890084e-05,587.0,587.0,0
3037,6.180022723320633e-05,587.0,587.0,0
3038,6.14912260970403e-05,587.0,587.0,0
3039,6.11837699665551e-05,587.0,587.0,0
3040,6.087785111672233e-05,587.0,587.0,0
3041,6.0573461861138714e-05,587.0,587.0,0
3042,6.027059455183302e-05,587.0,587.0,0
3043,5.996924157907386e-05,587.0,587.0,0
3044,5.9669395371178485e-05,587.0,587.0,0
3045,5.937104839432259e-05,587.0,587.0,0
3046,5.9074193152350976e-05,587.0,587.0,0
3047,5.877882218658922e-05,587.0,587.0,0
3048,5.8484928075656274e-05,587.0,587.0,0
3049,5.819250343527799e-05,587.0,587.0,0
3050,5.79015409181016e-05,587.0,587.0,0
3051,5.761203321351109e-05,587.0,587.0,0
3052,5.732397304744353e-05,587.0,587.0,0
3053,5.703735318220631e-05,587.0,587.0,0
3054,5.6752166416295276e-05,587.0,587.0,0
3055,5.64684055842138e-05,587.0,587.0,0
3056,5.618606355629273e-05,587.0,587.0,0
3057,5.590513323851127e-05,587.0,587.0,0
3058,5.562560757231871e-05,587.0,587.0,0
3059,5.5347479534457116e-05,587.0,587.0,0
3060,5.507074213678483e-05,587.0,587.0,0
3061,5.479538842610091e-05,587.0,587.0,0
3062,5.45214114839704e-05,587.0,587.0,0
3063,5.424880442655055e-05,587.0,587.0,0
3064,5.39775604044178e-05,587.0,587.0,0
